homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Napoli,Juventus,2.35,2.95,3.35,2.3,1.57,1.9,1.82,13,10
Udinese,Roma,3.0,3.2,2.4,1.99,1.73,1.75,1.98,19,16
Lecce,Inter Milan,9.2,5.0,1.32,1.67,2.1,2.05,1.7,12,9
Lazio,Fiorentina,2.1,3.35,3.5,1.77,1.95,1.62,2.15,11,6
Pisa,Hellas Verona,2.25,3.3,3.2,1.77,1.95,1.6,2.2,15,8
Parma,Lecce,2.45,3.1,3.0,1.92,1.8,1.67,2.1,14,12
Udinese,Pisa,1.77,3.55,4.8,1.82,1.9,1.72,2.0,19,15
Bologna,Como,1.97,3.3,4.1,1.95,1.77,1.75,1.97,2,4
Fiorentina,Genoa,1.72,3.55,5.0,1.83,1.88,1.73,1.99,6,7
Ac Milan,Inter Milan,4.4,3.5,1.83,1.87,1.85,1.72,2.0,0,9
Roma,Napoli,3.7,3.25,2.05,2.0,1.72,1.78,1.93,16,13
Como,Juventus,3.5,3.35,2.1,1.92,1.8,1.72,2.0,4,10
Hellas Verona,Atalanta,7.4,4.4,1.45,1.7,2.05,1.85,1.87,8,1
Cagliari,Parma,1.97,3.3,4.1,1.72,2.0,1.58,2.25,3,14
Lazio,Cremonese,1.3,5.4,9.8,1.6,2.2,2.0,1.72,11,5
Atalanta,Cagliari,1.52,4.2,6.2,1.68,2.05,1.77,1.97,1,3
Lazio,Napoli,2.45,2.85,3.3,2.15,1.65,1.77,1.95,11,13
Ac Milan,Hellas Verona,1.33,5.2,8.6,1.55,2.3,1.87,1.85,0,8
Fiorentina,Como,2.3,3.15,3.25,1.99,1.73,1.73,1.99,6,4
Udinese,Sassuolo,1.9,3.2,4.6,2.05,1.7,1.83,1.88,19,17
Cremonese,Lecce,2.75,3.0,2.7,2.35,1.55,1.92,1.8,5,12
Parma,Roma,3.7,3.25,2.1,1.73,1.99,1.57,2.25,14,16
Parma,Bologna,4.6,3.35,1.83,1.85,1.85,1.7,2.0,14,2
Pisa,Lazio,5.4,3.95,1.6,1.77,1.92,1.77,1.93,15,11
Torino,Ac Milan,4.1,3.5,1.87,1.72,1.99,1.6,2.15,18,0
Como,Napoli,3.55,2.95,2.25,2.15,1.62,1.82,1.88,4,13
Hellas Verona,Fiorentina,3.8,3.1,2.1,2.15,1.62,1.85,1.83,8,6
Sassuolo,Atalanta,6.4,4.4,1.47,1.63,2.15,1.75,1.97,17,1
Cagliari,Juventus,4.9,3.55,1.73,1.92,1.77,1.82,1.88,3,10
Roma,Cremonese,1.25,5.4,12.5,1.75,1.97,2.45,1.47,16,5
Udinese,Hellas Verona,1.77,3.4,5.0,2.1,1.65,1.93,1.77,19,8
Cremonese,Parma,3.0,3.2,2.35,1.87,1.83,1.67,2.05,5,14
Ac Milan,Como,1.78,3.65,4.4,1.63,2.15,1.55,2.25,0,4
Torino,Sassuolo,1.8,3.35,4.8,2.05,1.67,1.87,1.82,18,17
Bologna,Lazio,2.3,2.75,3.7,2.35,1.52,1.9,1.8,2,11
Fiorentina,Juventus,3.3,3.05,2.3,2.1,1.63,1.8,1.9,6,10
Atalanta,Inter Milan,2.55,3.2,2.8,1.9,1.8,1.67,2.05,1,9
Sassuolo,Pisa,2.3,2.95,3.4,2.3,1.55,1.92,1.8,17,15
Bologna,Inter Milan,3.55,3.2,2.1,1.98,1.72,1.75,1.95,2,9
Torino,Udinese,2.4,2.9,3.3,2.35,1.53,1.92,1.78,18,19
Genoa,Lazio,3.35,3.15,2.25,2.15,1.6,1.87,1.83,7,11
Cagliari,Fiorentina,2.95,3.0,2.55,2.2,1.6,1.83,1.87,3,6
Genoa,Lazio,3.8,3.05,2.15,2.2,1.6,1.87,1.82,7,11
Torino,Udinese,2.45,2.85,3.25,2.35,1.52,1.92,1.78,18,19
Como,Genoa,1.72,3.55,4.7,1.88,1.82,1.77,1.92,4,7
Atalanta,Lecce,1.24,5.8,11.0,1.57,2.25,2.15,1.62,1,12
Napoli,Torino,1.32,4.8,9.8,1.9,1.8,2.4,1.5,13,18
Udinese,Bologna,5.2,3.5,1.7,2.15,1.62,2.0,1.7,19,2
Hellas Verona,Cagliari,2.5,2.45,3.95,2.2,1.58,1.72,1.98,8,3
Atalanta,Parma,1.85,3.65,4.0,1.53,2.35,1.47,2.5,1,14
Ac Milan,Cremonese,1.23,6.6,10.5,1.33,3.0,1.77,1.95,0,5
Sassuolo,Hellas Verona,1.97,2.8,5.0,2.95,1.35,2.4,1.5,17,8
Pisa,Juventus,6.8,4.8,1.42,1.5,2.4,1.65,2.1,15,10
Torino,Roma,5.4,4.3,1.55,1.62,2.15,1.67,2.05,18,16
Udinese,Fiorentina,2.95,3.35,2.3,1.75,1.97,1.58,2.2,19,6
Pisa,Sassuolo,2.52,3.0,2.95,2.12,1.6,1.8,1.86,15,17
Fiorentina,Napoli,3.4,3.05,2.3,2.25,1.57,1.88,1.83,6,13
Hellas Verona,Udinese,3.3,2.9,2.45,2.0,1.73,1.7,2.03,8,19
Cremonese,Cagliari,2.36,2.98,3.1,1.92,1.76,1.68,2.02,5,3
Lecce,Genoa,2.87,2.9,2.75,2.38,1.49,1.96,1.73,12,7
Torino,Parma,1.8,3.5,4.7,1.87,1.89,1.8,1.94,18,14
Roma,Lazio,2.42,2.95,3.05,1.99,1.7,1.72,1.97,16,11
Lazio,Como,2.0,3.4,3.8,1.87,1.84,1.72,1.97,11,4
Udinese,Atalanta,5.85,3.85,1.6,1.87,1.8,1.87,1.8,19,1
Sassuolo,Lecce,2.0,3.05,4.1,2.33,1.51,2.01,1.69,17,12
Torino,Juventus,4.35,2.9,2.05,2.71,1.39,2.28,1.53,18,10
Ac Milan,Cagliari,1.32,5.2,9.0,1.49,2.4,1.76,1.91,0,3
Genoa,Parma,1.92,3.25,3.9,1.84,1.84,1.66,2.05,7,14
Pisa,Inter Milan,9.0,5.0,1.33,1.53,2.28,1.85,1.82,15,9
Bologna,Roma,2.61,3.05,2.72,2.0,1.69,1.73,1.95,2,16
Napoli,Hellas Verona,1.29,5.1,9.4,1.72,1.97,2.08,1.64,13,8
Cremonese,Fiorentina,4.25,3.35,1.9,1.93,1.75,1.79,1.88,5,6
Como,Ac Milan,4.25,3.6,1.8,1.8,1.9,1.72,2.0,4,0
